"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2021",60575.496978,"E"
"AUT","GDP","TOT","USD_CAP","A","2021",59393.011339,
"BEL","GDP","TOT","USD_CAP","A","2021",59948.24033,"P"
"CAN","GDP","TOT","USD_CAP","A","2021",50722.491679,
"CZE","GDP","TOT","USD_CAP","A","2021",44919.647137,
"DNK","GDP","TOT","USD_CAP","A","2021",65668.547686,
"FIN","GDP","TOT","USD_CAP","A","2021",55739.523515,
"FRA","GDP","TOT","USD_CAP","A","2021",51183.67172,"P"
"DEU","GDP","TOT","USD_CAP","A","2021",58674.163459,"P"
"GRC","GDP","TOT","USD_CAP","A","2021",31823.310479,"P"
"HUN","GDP","TOT","USD_CAP","A","2021",37303.412127,"P"
"ISL","GDP","TOT","USD_CAP","A","2021",58028.156025,"E"
"IRL","GDP","TOT","USD_CAP","A","2021",108312.018138,
"ITA","GDP","TOT","USD_CAP","A","2021",46612.65857,
"JPN","GDP","TOT","USD_CAP","A","2021",44624.963841,"E"
"LUX","GDP","TOT","USD_CAP","A","2021",136239.864052,
"NLD","GDP","TOT","USD_CAP","A","2021",64772.3904,"P"
"NOR","GDP","TOT","USD_CAP","A","2021",68452.835569,
"POL","GDP","TOT","USD_CAP","A","2021",38027.018668,
"PRT","GDP","TOT","USD_CAP","A","2021",36381.496744,"P"
"SVK","GDP","TOT","USD_CAP","A","2021",33409.225482,
"ESP","GDP","TOT","USD_CAP","A","2021",41423.924724,"P"
"SWE","GDP","TOT","USD_CAP","A","2021",60383.007962,
"CHE","GDP","TOT","USD_CAP","A","2021",76902.376648,"P"
"GBR","GDP","TOT","USD_CAP","A","2021",51374.110178,
"EST","GDP","TOT","USD_CAP","A","2021",42910.989104,
"SVN","GDP","TOT","USD_CAP","A","2021",44221.95132,
"LVA","GDP","TOT","USD_CAP","A","2021",35036.512007,
"LTU","GDP","TOT","USD_CAP","A","2021",43342.167498,
"CRI","GDP","TOT","USD_CAP","A","2021",24576.099926,"E"
